No.,Placement ID,X,Y,Angle,Component Name,Place/Adhesive,Mark,Area Bad Mark,Skip,Trial,Layer,Placement Monitor,Machine,Adhe Skip,Adhesive Test,Adhesive Machine
378,D114,148.62,189.39,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
379,D115,148.62,193.3,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
380,D116,148.31,120.18,270,DIODE_4200X2500_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
381,D117,148.31,126.68,270,DIODE_4200X2500_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
382,D118,148.31,132.67,270,DIODE_4200X2500_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
383,D119,152.13,184.97,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
384,D120,152.13,193.3,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
385,D121,152.13,189.39,180,138.0054,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
386,D122,185.4,109.54,180,POWERDI123_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
387,D123,185.66,113.2,180,POWERDI123_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
388,D124,185.91,116.35,180,POWERDI123_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
389,D125,186.17,119,180,POWERDI123_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
390,D126,156.14,184.97,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
391,D127,156.14,189.39,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
392,D128,156.14,193.3,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
393,D129,190.69,109.54,180,POWERDI123_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
394,D130,190.69,113.2,180,POWERDI123_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
